Book_page,Year,Site,Nest_ID,Egg_num,Length,Width,Comments
2.05,2003,barr,03barramgp505,1,50.4,33.8,
2.05,2003,barr,03barramgp505,3,50.5,34.2,
2.05,2003,barr,03barramgp505,2,49.5,34.4,
2.05,2003,barr,03barramgp505,4,48.2,34.5,
2.29,2003,barr,03barramgp514,4,49.8,33.8,
2.29,2003,barr,03barramgp514,1,48.3,34.4,
2.29,2003,barr,03barramgp514,3,48.5,34.4,
2.29,2003,barr,03barramgp514,2,48.1,34.6,
3.21,2003,barr,03barrdunl012,3,35.5,23,
3.21,2003,barr,03barrdunl012,4,36.3,23,
3.21,2003,barr,03barrdunl012,1,36.1,25.8,
3.21,2003,barr,03barrdunl012,2,34.6,26.4,
3.02,2003,barr,03barrdunl101,3,37.8,25.3,
3.02,2003,barr,03barrdunl101,1,37,26.1,
3.02,2003,barr,03barrdunl101,2,36.3,26.6,
3.13,2003,barr,03barrdunl103,2,37.9,25.7,
3.13,2003,barr,03barrdunl103,4,36.6,25.8,
3.13,2003,barr,03barrdunl103,1,36.1,26,
3.13,2003,barr,03barrdunl103,3,35.5,26.4,
3.12,2003,barr,03barrdunl104,1,34.4,26,
3.12,2003,barr,03barrdunl104,2,34.5,26,
3.12,2003,barr,03barrdunl104,4,35.4,26.1,
3.12,2003,barr,03barrdunl104,3,35.6,26.6,
3.04,2003,barr,03barrdunl201,2,34.7,24.6,
3.04,2003,barr,03barrdunl201,3,34.8,24.8,
3.04,2003,barr,03barrdunl201,4,34.7,24.9,
3.04,2003,barr,03barrdunl201,1,36,25.1,
2.1,2003,barr,03barrdunl202,2,36.8,26.6,
2.1,2003,barr,03barrdunl202,3,35.5,26.8,
2.1,2003,barr,03barrdunl202,4,35.6,27.1,
3.15,2003,barr,03barrdunl207,4,36.8,25,
3.15,2003,barr,03barrdunl207,1,36.9,25.1,
3.15,2003,barr,03barrdunl207,2,37.4,25.2,
3.15,2003,barr,03barrdunl207,3,36.1,25.3,
1.03,2003,barr,03barrdunl306,4,35.1,25.3,
1.03,2003,barr,03barrdunl306,1,35.9,25.4,
1.03,2003,barr,03barrdunl306,3,36.3,25.5,
1.03,2003,barr,03barrdunl306,2,36.9,25.8,
3.1,2003,barr,03barrdunl312,1,35.6,24.4,
3.1,2003,barr,03barrdunl312,4,36.2,24.7,
3.1,2003,barr,03barrdunl312,3,36,25,
3.1,2003,barr,03barrdunl312,2,34.9,25.1,
4.09,2003,barr,03barrdunl316,1,36,25.2,
4.09,2003,barr,03barrdunl316,2,36.6,25.2,
4.09,2003,barr,03barrdunl316,4,37.2,25.2,
4.09,2003,barr,03barrdunl316,3,36.4,25.4,
1.12,2003,barr,03barrdunl319,3,35.7,25.3,
1.12,2003,barr,03barrdunl319,2,36.3,25.3,
1.12,2003,barr,03barrdunl319,1,36.1,25.6,
1.15,2003,barr,03barrdunl323,4,35.2,25.6,
1.15,2003,barr,03barrdunl323,2,35.9,26,
1.15,2003,barr,03barrdunl323,3,35.7,26.5,
1.15,2003,barr,03barrdunl323,1,35.4,26.7,
3.24,2003,barr,03barrdunl327,3,36.7,24.5,
3.24,2003,barr,03barrdunl327,2,37,25.1,
3.24,2003,barr,03barrdunl327,4,37,25.2,
3.24,2003,barr,03barrdunl327,1,37.4,25.2,
2.04,2003,barr,03barrdunl504,4,36.4,26,
2.04,2003,barr,03barrdunl504,2,37.7,26,
2.04,2003,barr,03barrdunl504,3,36.5,26.1,
2.04,2003,barr,03barrdunl504,1,35.2,26.3,
3.05,2003,barr,03barrdunl507,3,37.7,25.5,
3.05,2003,barr,03barrdunl507,2,38.3,26,
3.05,2003,barr,03barrdunl507,4,38.4,26,
3.05,2003,barr,03barrdunl507,1,37.4,26.1,
2.14,2003,barr,03barrdunl508,4,34.5,24.9,
2.14,2003,barr,03barrdunl508,2,37.3,24.9,
2.14,2003,barr,03barrdunl508,3,34.9,25,
2.14,2003,barr,03barrdunl508,1,35.5,25,
3.09,2003,barr,03barrdunl509,3,36.5,25.7,
3.09,2003,barr,03barrdunl509,2,36.9,25.7,
3.09,2003,barr,03barrdunl509,4,36.6,25.9,
3.09,2003,barr,03barrdunl509,1,37,26.1,
1.02,2003,barr,03barrdunl701,2,37.4,25,
1.02,2003,barr,03barrdunl701,4,35.1,25.3,
1.02,2003,barr,03barrdunl701,3,35.5,25.3,
1.02,2003,barr,03barrdunl701,1,35.7,25.6,
1.09,2003,barr,03barrlbdo005,4,43.5,31.2,
1.09,2003,barr,03barrlbdo005,2,44.7,31.6,
1.09,2003,barr,03barrlbdo005,1,43.3,31.8,
1.09,2003,barr,03barrlbdo005,3,43.8,32,
1.2,2003,barr,03barrlbdo016,1,45.4,30.5,
1.2,2003,barr,03barrlbdo016,3,44.1,30.7,
1.2,2003,barr,03barrlbdo016,2,45.6,30.9,
2.19,2003,barr,03barrlbdo407,1,44.7,29.6,
2.19,2003,barr,03barrlbdo407,2,42.8,30.1,
2.19,2003,barr,03barrlbdo407,4,43.1,30.1,
2.19,2003,barr,03barrlbdo407,3,44,30.3,
2.3,2003,barr,03barrpesa014,1,37.6,25,
2.3,2003,barr,03barrpesa014,3,35.9,25.1,
2.3,2003,barr,03barrpesa014,2,37.6,25.4,
2.3,2003,barr,03barrpesa014,4,36.4,25.6,
2.23,2003,barr,03barrpesa204,4,37.6,26,
2.23,2003,barr,03barrpesa204,3,37.9,26,
2.23,2003,barr,03barrpesa204,1,39.1,26,
2.23,2003,barr,03barrpesa204,2,37.9,26.1,
4.08,2003,barr,03barrpesa315,4,38.4,26.3,
4.08,2003,barr,03barrpesa315,2,37.2,26.7,
4.08,2003,barr,03barrpesa315,1,35.9,27,
4.08,2003,barr,03barrpesa315,3,35.6,27.1,
1.11,2003,barr,03barrpesa318,3,34.7,25.3,
1.11,2003,barr,03barrpesa318,4,35.6,25.6,
1.11,2003,barr,03barrpesa318,2,36,25.8,
1.11,2003,barr,03barrpesa318,1,35.7,25.9,
2.31,2003,barr,03barrpesa328,4,36.2,26.9,
2.31,2003,barr,03barrpesa328,1,37.4,27,
2.31,2003,barr,03barrpesa328,3,36.3,27.2,
2.31,2003,barr,03barrpesa328,2,37.5,27.5,
3.25,2003,barr,03barrpesa329,2,38,26.1,
3.25,2003,barr,03barrpesa329,4,38.5,26.2,
3.25,2003,barr,03barrpesa329,1,38.7,26.5,
3.25,2003,barr,03barrpesa329,3,39.8,26.6,
2.12,2003,barr,03barrpesa403,2,37.1,27.1,
2.12,2003,barr,03barrpesa403,1,37.6,27.1,
2.12,2003,barr,03barrpesa403,4,37,27.2,
2.12,2003,barr,03barrpesa403,3,37.6,27.2,
2.13,2003,barr,03barrpesa404,2,38.1,26.3,
2.13,2003,barr,03barrpesa404,4,38,26.4,
2.13,2003,barr,03barrpesa404,1,35.7,26.6,
2.13,2003,barr,03barrpesa404,3,37.7,27,
2.28,2003,barr,03barrpesa413,3,37.8,26,
2.28,2003,barr,03barrpesa413,4,36.6,26.3,
2.28,2003,barr,03barrpesa413,2,38.1,26.3,
2.28,2003,barr,03barrpesa413,1,38.4,26.6,
1.06,2003,barr,03barrpesa510,3,38.3,26.5,
1.06,2003,barr,03barrpesa510,4,37.4,26.6,
1.06,2003,barr,03barrpesa510,2,39.1,26.6,
1.06,2003,barr,03barrpesa510,1,37.4,27,
2.25,2003,barr,03barrpesa513,1,36.4,26,
2.25,2003,barr,03barrpesa513,2,37.1,27.4,
2.25,2003,barr,03barrpesa513,3,37.2,27.6,
2.25,2003,barr,03barrpesa513,4,36.7,27.7,
3.08,2003,barr,03barrreph002,2,32.7,21.8,
3.08,2003,barr,03barrreph002,3,32.2,21.9,
3.08,2003,barr,03barrreph002,4,33.3,22,
3.08,2003,barr,03barrreph002,1,32,22.6,
4.06,2003,barr,03barrreph004,1,31.9,22.4,
4.06,2003,barr,03barrreph004,2,31.5,22.5,
4.06,2003,barr,03barrreph004,3,32.3,22.7,
4.06,2003,barr,03barrreph004,4,32.7,22.7,
1.14,2003,barr,03barrreph006,2,31.4,22.4,
1.14,2003,barr,03barrreph006,4,31.1,22.6,
1.14,2003,barr,03barrreph006,3,31,22.8,
1.14,2003,barr,03barrreph006,1,32.5,23.4,
3.2,2003,barr,03barrreph010,3,34.8,22.3,
3.2,2003,barr,03barrreph010,2,35.3,22.3,
3.2,2003,barr,03barrreph010,4,35.4,22.4,
3.2,2003,barr,03barrreph010,1,35.2,23.8,
3.23,2003,barr,03barrreph015,2,31.6,22,
3.23,2003,barr,03barrreph015,4,31.2,22.1,
3.23,2003,barr,03barrreph015,1,31.9,22.4,
3.23,2003,barr,03barrreph015,3,31.9,22.4,
3.18,2003,barr,03barrreph105,4,31.4,21.9,
3.18,2003,barr,03barrreph105,2,30.6,22.2,
3.18,2003,barr,03barrreph105,1,31.3,22.6,
3.18,2003,barr,03barrreph105,3,32.6,22.6,
3.14,2003,barr,03barrreph206,4,33,22.6,
3.14,2003,barr,03barrreph206,1,33.5,22.6,
3.14,2003,barr,03barrreph206,3,33,22.8,
3.14,2003,barr,03barrreph206,2,32.3,23.4,
3.16,2003,barr,03barrreph208,4,31.5,22,
3.16,2003,barr,03barrreph208,2,32.4,22.4,
3.16,2003,barr,03barrreph208,3,32,22.6,
3.16,2003,barr,03barrreph208,1,31.3,22.8,
3.17,2003,barr,03barrreph209,2,32.8,22.1,
3.17,2003,barr,03barrreph209,3,32.1,22.3,
3.17,2003,barr,03barrreph209,1,33,22.4,
1.19,2003,barr,03barrreph211,1,32,22.3,
