Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,Jdate_found,Latitude,Longitude,Plot_ID,Plot_limit,Stake,estHatch,estHatch_julian,how_found,ad1_original_band,ad2_original_band,ad1_UL,ad1_LL,ad1_UR,ad1_LR,ad1_eng_flag,ad2_UL,ad2_LL,ad2_UR,ad2_LR,ad2_eng_flag,BandedBirds,ad1_band,ad2_band,Clutch_max,Clutch_found,floatDate,floatAge,lastInfoDate,lastInfo_jDate,fateDate,fateDate_julian,initDate,initDate_julian,incDate,hatchDate,hatchDate_julian,ageMethod,stageFnd,fate,fail_cause,adBlood,NumEggHuman,NumEggColl,NumEggLost,NumEggwithEmbryo,NumEggPred,NumEggAband,NumEggFailToHatch,NumEggAbandUnhat,NumEggUnknown,NumEggHatch,NumChicksSeen,dom_land,dom_veg,conceal,Treatment,Date_treatment,Comments,Plot_limit_corr,Known_renest
,2014,chur,14HPE1,sepl,,14-Jun-14,165,58.76932738,-81.84616391,,,,,,, ,,-,-,-,-,-,-,-,-,-,-,0,,,3,,,,18-Jun-14,169,22-Jun-14,173,10-Jun-14,161,,,,,lay,failed,predation,,,,,,,,,,,,,,,,,,,,
,2007,barr,07barrsesa309,sesa,haase,14-Jun-07,165,71.26336,-156.84769,brw9,out,NUN,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,14-Jun-07,165,14-Jun-07,165,,,,,,,inc,undetermined,undetermined,1,0,0,,,,,,0,NA,,NA,,,,,,"ecotoxicology, nest not monitored",out,
,2007,barr,07barrsesa310,sesa,haase,14-Jun-07,165,71.26336,-156.84688,brw9,out,nun,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,14-Jun-07,165,14-Jun-07,165,,,,,,,inc,undetermined,undetermined,1,0,0,,,,,,0,NA,,NA,,,,,,"ecotoxicology, nest not monitored",out,
,2007,barr,07barrsesa903,sesa,chiang,12-Jun-07,163,71.2656,-156.78319,brw9,out,FWL,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,12-Jun-07,163,12-Jun-07,163,,,,,,,inc,undetermined,undetermined,1,0,0,,,,,,0,NA,,NA,,,,collection,,"stable isotope nest, nest not monitored",out,
,2013,burn,13burnlesade01,lesa,dedwards,26-Jun-13,177,55.23941483,-84.32162784,plot2,in,,,NA,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,26-Jun-13,177,26-Jun-13,177,4-Jun-13,155,7-Jun-13,26-Jun-13,177,hatch,hatch,hatched,,0,0,0,0,unknown,0,0,,0,0,0,4,,,,,,,in,0
,2010,made,10madeamgp001,amgp,lpirie,17-Jun-10,168,69.34302817,-135.3341876,nig,in,,,NA,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,NA,NA,,,,,,,,none,inc,undetermined,,,NA,,,,,,,0,NA,,NA,tt,u3,10,,,nig-c-01,in,0
3.27,2004,barr,04barrdunl111,dunl,taylor,24-Jun-04,176,71.29596,-156.65043,brw2,out,a6,,NA,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,24-Jun-04,176,27-Jun-04,179,,,,,,float,unknown,failed,predation,0,0,0,,,,,,0,NA,0,0,,,,,,"not sure if still laying, predated after found 3 egg nest",out,
18.21,2006,barr,06barrbbsa405,bbsa,boadways,20-Jun-06,171,71.32451,-156.6409,south of NARL,out,,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,20-Jun-06,171,,,,,,,,,unknown,undetermined,unknown,,NA,,,,,,,0,NA,,NA,,,,,,probably never visited again,out,
19.03,2006,barr,06barrreph517,reph,boadways,24-Jun-06,175,71.2486,-156.76289,brw9,out,,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,24-Jun-06,175,,,,,,,,,unknown,undetermined,unknown,,NA,,,,,,,0,NA,,NA,,,,,,probably never visited again,out,
,2007,barr,07barramgp904,amgp,chiang,11-Jun-07,162,71.26521,-156.76712,brw9,out,FWL,08-Jul-07,189,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,NA,NA,,,9-Jun-07,160,12-Jun-07,,,,lay,undetermined,undetermined,,NA,,,,,,,0,NA,,NA,,,,collection,,stable isotope nest,out,
,2007,barr,07barrpesa56,pesa,ataylor,12-Jun-07,163,71.25332,-156.85209,brw9,out,NUN,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,12-Jun-07,163,12-Jun-07,163,,,,,,,lay,undetermined,undetermined,1,0,0,,,,,,0,NA,,NA,,,,,,"ecotoxicology, nest not monitored",out,
,2007,barr,07barrsesa308,sesa,haase,13-Jun-07,164,71.26647,-156.72801,brw9,out,fwl,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,13-Jun-07,164,13-Jun-07,164,,,,,,,lay,undetermined,undetermined,1,0,0,,,,,,0,NA,,NA,,,,collection,,"stable isotope nest, nest not monitored",out,
,2007,barr,07barrsesa911,sesa,chiang,15-Jun-07,166,71.25506,-156.78718,brw9,out,fwl,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,15-Jun-07,166,15-Jun-07,166,,,,,,,inc,undetermined,undetermined,1,0,0,,,,,,0,NA,,NA,,,,collection,,"stable isotope nest, nest not monitored",out,
13.17,2010,barr,10barrdunl108,dunl,bhill,15-Jun-10,166,71.27061,-156.78574,brwfwl,out,,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,,,15-Jun-10,166,16-Jun-10,167,,,,,,,unknown,failed,predation,0,0,0,,0,,0,,0,NA,0,0,,,,,,,out,
,2010,eaba,10eababba01,bbpl,eaba_crew,20-Jun-10,171,63.98563889,-81.68138889,a,in,,16-Jul-10,197,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,20-Jun-10,26,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpdm01,reph,eaba_crew,20-Jun-10,171,63.98208333,-81.70188889,c,in,,10-Jul-10,191,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,20-Jun-10,20,NA,NA,,,17-Jun-10,168,,10-Jul-10,191,,,hatched,,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpk02,reph,eaba_crew,24-Jun-10,175,64.00252778,-81.67616667,i,in,,14-Jul-10,195,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,25-Jun-10,19,NA,NA,,,21-Jun-10,172,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
