Original_band,Year,Sex,Sex_method
6360,1996,f,bill
6503,1996,f,bill
7517,1999,m,bill
58060,1995,m,"bill, mate_compare"
58078,1996,m,bill
58127,1998,m,bill
6395,1998,m,"bill, mate_compare"
58161,1994,m,bill
7584,1999,u,"conflicting_records, bill"
7598,1999,u,bill
6079,1999,f,bill
58022,1998,f,bill
58215,1998,f,bill
58283,1996,f,bill
6019,1996,f,bill
6132,1995,f,bill
7103,1998,f,bill
7306,1999,f,bill
58061,1996,f,bill
58092,1996,f,bill
58115,1996,f,bill
58119,1996,f,bill
58173,1996,f,bill
58174,1996,f,bill
58182,1995,f,bill
58203,1996,f,bill
58321,1996,f,bill
6021,1996,f,bill
6061,1996,f,bill
6071,1995,f,bill
6077,1996,f,bill
6103,1996,f,bill
6106,1995,f,"conflicting_records, bill"
6337,1996,f,bill
6394,1996,f,bill
6399,1996,f,bill
6504,1996,f,bill
7101,1999,f,bill
58066,1995,f,bill
58120,1995,f,bill
58122,1995,f,bill
58124,1996,f,bill
58183,1994,f,bill
58204,1994,f,bill
58230,1995,f,bill
58259,1996,f,bill
58276,1995,f,bill
58278,1996,f,bill
58279,1995,f,bill
58296,1995,f,bill
58300,1995,f,bill
58409,1996,f,bill
6035,1995,f,bill
6038,1995,f,bill
6078,1994,f,bill
6081,1995,f,bill
6082,1995,f,"conflicting_records, bill"
6104,1995,f,bill
6113,1994,f,bill
6125,1995,f,bill
6129,1996,f,bill
6139,1995,f,bill
6152,1995,f,bill
6153,1995,f,bill
6154,1995,f,bill
6158,1995,f,bill
6161,1995,f,bill
6339,1996,f,bill
6347,1996,f,bill
6374,1996,f,bill
6388,1996,f,bill
6448,1996,f,bill
6452,1995,f,bill
6534,1996,f,bill
6561,1996,f,bill
6633,1998,f,bill
7111,1999,f,bill
7125,1998,f,bill
7130,1996,f,bill
7135,1996,f,bill
7142,1996,f,bill
7144,1996,f,bill
7145,1999,f,bill
7171,1998,f,"conflicting_records, bill"
7172,1998,f,bill
7327,1996,f,bill
7358,1998,f,bill
7474,1997,f,bill
7501,1997,f,bill
7514,1998,f,bill
7521,1998,f,bill
7623,1999,f,bill
7709,1999,f,bill
7710,1999,f,bill
56333,1996,f,bill
58017,1995,f,bill
58052,1995,f,"conflicting_records, bill"
58055,1994,f,bill
58076,1995,f,bill
58084,1994,f,bill
58096,1994,f,bill
58098,1994,f,bill
58108,1994,f,bill
58114,1994,f,bill
58116,1994,f,bill
58128,1994,f,bill
58143,1996,f,bill
58149,1994,f,bill
58163,1995,f,bill
58178,1994,f,bill
58179,1994,f,bill
58205,1994,f,bill
58210,1994,f,bill
58225,1994,f,bill
58227,1995,f,bill
58228,1994,f,bill
58232,1998,f,bill
58238,1994,f,bill
58256,1995,f,bill
58258,1994,f,bill
58280,1994,f,bill
58286,1994,f,bill
58291,1994,f,bill
58298,1994,f,bill
58355,1995,f,bill
6010,1994,f,"conflicting_records, bill"
6012,1994,f,bill
6017,1994,f,bill
6020,1994,f,bill
6023,1994,f,bill
6026,1994,f,bill
6027,1994,f,bill
6029,1994,f,bill
