Year,Site,Date,Observer,Obs_effort,Transport,Survey_area,Nest_searching,Banding,Aqua_prey,Terre_prey,Pond_hydro,Pred_lemm,Other_activity,Notes
2010,barr,25-May-10,,0.5,,,,,,,,,,
2010,barr,31-May-10,,1.16,,,,,,,,,,
2010,barr,26-May-10,,5,,,,,,,,,,
2010,barr,27-May-10,,5,,,,,,,,,,
2010,barr,29-May-10,,5,,,,,,,,,,
2010,barr,01-Jun-10,,7.5,,,,,,,,,,
2010,barr,19-Jul-10,,8,,,,,,,,,,
2010,barr,25-Jul-10,,8.5,,,,,,,,,,
2010,barr,26-Jul-10,,8.5,,,,,,,,,,
2010,barr,16-Jul-10,,9,,,,,,,,,,
2010,barr,28-Jul-10,,13,,,,,,,,,,
2010,barr,29-Jul-10,,13.5,,,,,,,,,,
2010,barr,23-Jul-10,,14,,,,,,,,,,
2010,barr,05-Jun-10,,15,,,,,,,,,,
2010,barr,18-Jul-10,,15,,,,,,,,,,
2010,barr,27-Jul-10,,15,,,,,,,,,,
2010,barr,06-Jun-10,,18,,,,,,,,,,
2010,barr,21-Jul-10,,18,,,,,,,,,,
2010,barr,17-Jul-10,,19,,,,,,,,,,
2010,barr,28-May-10,,20,,,,,,,,,,
2010,barr,08-Jun-10,,20.16,,,,,,,,,,
2010,barr,04-Jun-10,,22,,,,,,,,,,
2010,barr,04-Jul-10,,22,,,,,,,,,,
2010,barr,15-Jul-10,,22,,,,,,,,,,
2010,barr,20-Jul-10,,22,,,,,,,,,,
2010,barr,11-Jul-10,,23,,,,,,,,,,
2010,barr,02-Jun-10,,24,,,,,,,,,,
2010,barr,03-Jun-10,,24,,,,,,,,,,
2010,barr,13-Jun-10,,24,,,,,,,,,,
2010,barr,26-Jun-10,,24,,,,,,,,,,
2010,barr,09-Jun-10,,26,,,,,,,,,,
2010,barr,20-Jun-10,,29,,,,,,,,,,
2010,barr,22-Jul-10,,30,,,,,,,,,,
2010,barr,24-Jul-10,,30,,,,,,,,,,
2010,barr,07-Jun-10,,32,,,,,,,,,,
2010,barr,14-Jul-10,,33,,,,,,,,,,
2010,barr,12-Jul-10,,34.75,,,,,,,,,,
2010,barr,11-Jun-10,,35,,,,,,,,,,
2010,barr,13-Jul-10,,36,,,,,,,,,,
2010,barr,10-Jun-10,,37.5,,,,,,,,,,
2010,barr,12-Jun-10,,39,,,,,,,,,,
2010,barr,30-May-10,,40,,,,,,,,,,
2010,barr,15-Jun-10,,46,,,,,,,,,,
2010,barr,18-Jun-10,,48,,,,,,,,,,
2010,barr,10-Jul-10,,48,,,,,,,,,,
2010,barr,16-Jun-10,,49,,,,,,,,,,
2010,barr,24-Jun-10,,53,,,,,,,,,,
2010,barr,14-Jun-10,,54,,,,,,,,,,
2010,barr,28-Jun-10,,55,,,,,,,,,,
2010,barr,01-Jul-10,,55,,,,,,,,,,
2010,barr,17-Jun-10,,56,,,,,,,,,,
2010,barr,27-Jun-10,,58,,,,,,,,,,
2010,barr,03-Jul-10,,59,,,,,,,,,,
2010,barr,09-Jul-10,,59,,,,,,,,,,
2010,barr,30-Jun-10,,60.5,,,,,,,,,,
2010,barr,25-Jun-10,,61,,,,,,,,,,
2010,barr,02-Jul-10,,62.5,,,,,,,,,,
2010,barr,22-Jun-10,,63,,,,,,,,,,
2010,barr,07-Jul-10,,63,,,,,,,,,,
2010,barr,06-Jul-10,,64,,,,,,,,,,
2010,barr,19-Jun-10,,65,,,,,,,,,,
2010,barr,29-Jun-10,,65,,,,,,,,,,
2010,barr,21-Jun-10,,72,,,,,,,,,,
2010,barr,08-Jul-10,,73,,,,,,,,,,
2010,barr,05-Jul-10,,75.5,,,,,,,,,,
2010,barr,23-Jun-10,,77.5,,,,,,,,,,
2013,barr,25-May-13,jcunningham,1,foot,town,n,n,n,n,n,n,y,
2013,barr,25-May-13,kgrond,0.5,foot,,n,n,n,n,n,n,y,
2013,barr,26-May-13,jcunningham,6,foot,0,n,n,n,n,n,n,y,snow
2013,barr,26-May-13,kgrond,1,foot,,n,n,n,n,n,n,y,errands
2013,barr,26-May-13,pherzog,1,foot,,n,n,n,n,n,n,y,errands
2013,barr,27-May-13,jcunningham,8,foot,0,n,n,n,n,n,n,y,installing plot
2013,barr,27-May-13,kgrond,8,foot,0,n,n,n,n,n,n,y,installing plot
2013,barr,27-May-13,pherzog,8,foot,0,n,n,n,n,n,n,y,installing plot
2013,barr,28-May-13,jcunningham,9,foot,"0,city",n,n,n,n,n,n,y,installing plot
2013,barr,28-May-13,kgrond,9,foot,"0,city",n,n,n,n,n,n,y,installing plot
2013,barr,28-May-13,pherzog,9,foot,"0,city",n,n,n,n,n,n,y,installing plot
2013,barr,29-May-13,jcunningham,8.5,foot,0,n,n,n,n,n,n,y,installing plot
2013,barr,29-May-13,kgrond,8.5,foot,0,n,n,n,n,n,n,y,installing plot
