Site,Year,Date,Start_time,End_time,Transect_ID,Start_lat,End_lat,Start_lon,End_lon,Observer,brle_count,cole_count,unle_count
ikpi,2011,27-Jun-11,9:45,16:45,plot3,70.56718,70.55834,154.71345,154.70919,acook,4,0,0
ikpi,2011,16-Jun-11,10:00,17:55,plot5,70.53323,70.53585,154.71998,154.69433,acook,4,0,0
ikpi,2011,15-Jun-11,10:00,18:30,plot3,70.56718,70.55834,154.71345,154.70919,acook,0,0,0
ikpi,2011,29-Jun-11,10:18,16:35,plot12,70.54191,70.5455,154.74009,154.71558,acook,0,0,0
ikpi,2011,17-Jun-11,10:20,17:50,plot12,70.54191,70.5455,154.74009,154.71558,acook,0,0,0
ikpi,2011,28-Jun-11,10:30,16:40,plot5,70.53323,70.53585,154.71998,154.69433,acook,0,0,0
ikpi,2011,11-Jul-11,11:30,12:57,plot12,70.54191,70.5455,154.74009,154.71558,acook,0,0,0
ikpi,2011,11-Jul-11,13:07,14:40,plot10,70.54079,70.54728,154.75922,154.74055,acook,1,1,0
prba,2012,17-Jun-12,8:05,12:18,plot2,70.27148,70.26305,148.54416,148.55305,apham,0,0,0
prba,2012,28-Jun-12,8:20,9:20,plot12,70.35033,70.35325,148.65177,148.62656,apham,0,0,0
prba,2012,15-Jul-12,8:21,9:23,plot2,70.27148,70.26305,148.54416,148.55305,apham,0,0,0
prba,2012,16-Jun-12,8:30,13:39,plot12,70.35033,70.35325,148.65177,148.62656,apham,0,0,0
prba,2012,15-Jun-12,8:30,13:40,plot8,70.35368,70.34536,148.78352,148.77359,apham,0,0,0
prba,2012,27-Jun-12,8:35,10:35,plot12,70.35033,70.35325,148.65177,148.62656,apham,0,0,0
prba,2012,14-Jul-12,8:44,9:40,plot6,70.27946,70.27367,148.79816,148.7779,apham,0,0,0
prba,2012,26-Jun-12,8:45,13:32,plot6,70.27946,70.27367,148.79816,148.7779,apham,0,0,0
prba,2012,15-Jul-12,10:16,11:29,plot10,70.21377,70.22212,148.5118,148.52107,apham,0,0,0
prba,2012,28-Jun-12,10:37,14:37,plot2,70.27148,70.26305,148.54416,148.55305,apham,0,0,0
prba,2012,14-Jul-12,10:55,11:40,plot8,70.35368,70.34536,148.78352,148.77359,apham,0,0,0
prba,2012,27-Jun-12,12:07,16:45,plot10,70.21377,70.22212,148.5118,148.52107,apham,0,0,0
