Site,Year,Date,Start_time,End_time,Start_lat,End_lat,Start_lon,End_lon,Distance_surveyed_km,Observer,Perpend_dist_to_nest
colv,2013,15-Jun-13,12:06,12:46,70.43753,70.44423,150.67847,150.70529,1.25,rharned,3
colv,2013,15-Jun-13,12:06,12:46,70.43753,70.44423,150.67847,150.70529,1.25,rharned,5
colv,2013,15-Jun-13,12:06,12:46,70.43753,70.44423,150.67847,150.70529,1.25,rharned,5
colv,2013,15-Jun-13,12:06,12:46,70.43753,70.44423,150.67847,150.70529,1.25,rharned,8
colv,2013,15-Jun-13,12:12,12:39,70.4366,70.42825,150.67606,150.66589,1,bwilkinson,0
colv,2013,15-Jun-13,12:12,12:39,70.4366,70.42825,150.67606,150.66589,1,bwilkinson,1
colv,2013,15-Jun-13,12:12,12:39,70.4366,70.42825,150.67606,150.66589,1,bwilkinson,10
colv,2013,15-Jun-13,12:12,12:39,70.4366,70.42825,150.67606,150.66589,1,bwilkinson,10
colv,2013,15-Jun-13,12:12,12:39,70.4366,70.42825,150.67606,150.66589,1,bwilkinson,11
colv,2013,15-Jun-13,12:12,12:39,70.4366,70.42825,150.67606,150.66589,1,bwilkinson,3
colv,2013,15-Jun-13,12:50,13:05,70.42738,70.42377,150.66753,150.67552,0.5,bwilkinson,6
colv,2013,15-Jun-13,12:50,13:05,70.42738,70.42377,150.66753,150.67552,0.5,bwilkinson,7
colv,2013,15-Jun-13,13:28,13:40,70.4228,70.41901,150.67863,150.67145,0.5,bwilkinson,none
colv,2013,15-Jun-13,14:30,14:50,70.43436,70.43939,150.69948,150.70232,0.547,scarvey,none
colv,2013,15-Jun-13,14:55,15:20,70.43939,70.44382,150.70232,150.70097,0.497,scarvey,1
colv,2013,15-Jun-13,14:55,15:20,70.43939,70.44382,150.70232,150.70097,0.497,scarvey,4
colv,2013,15-Jun-13,19:13,19:26,70.42512,70.42684,150.69287,150.68341,0.4,bwilkinson,none
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,1
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,1
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,3
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,5
barr,2010,12-Jun-10,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,8
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,1
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,1
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,2
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,3
barr,2013,12-Jun-13,07:56,08:45,71.26135,71.26652,156.84009,156.7763,0.5,rlanctot,5
