site,year,transectid,stationID,trapid,start lat,start long,end lat,end long,trap lat,trap long,prebait start date,prebait start time,prebait end date,prebait end time,trapinidate,trapinitime,observer,trapcheckdate,trapchecktime,trapped,tag_time,species,tag#,recap,photo,comments
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-1,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,29-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-2,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,29-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-3,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,29-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-4,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,29-May-11,7:30,0,,,,,,
nome,2011,lemming1,,lemming1-5,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,12:30,0,,,,,,
nome,2011,lemming1,,lemming1-5,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,17:30,0,,,,,,
nome,2011,lemming1,,lemming1-5,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,27-May-11,22:30,0,,,,,,
nome,2011,lemming1,,lemming1-5,64.44395,-164.95592,64.44554,-164.95537,,,24-May-11,10:30,27-May-11,10:30,27-May-11,10:15,tesson,28-May-11,7:30,0,,,,,,
