PlotID,Microhabitat,cushion_length,cushion_width,species,indID,cover,demography,phenology,nr.buds,nr.flowers,nr.fruits,physp,site.label
1,Arenaria tetraqetra,31,19,Nevadensia purpúrea,1,1,adult,vegetative,NA,NA,NA,Nevadensia purpurea,1.Arenaria tetraqetra
1,Arenaria tetraqetra,31,19,Nevadensia purpúrea,2,1,adult,vegetative,NA,NA,NA,Nevadensia purpurea,1.Arenaria tetraqetra
1,Arenaria tetraqetra,31,19,Nevadensia purpúrea,3,1,adult,vegetative,NA,NA,NA,Nevadensia purpurea,1.Arenaria tetraqetra
2,Open,NA,NA,Nevadensia purpúrea,1,1,adult,fruiting,NA,NA,10,Nevadensia purpurea,2.Open
4,Arenaria tetraqetra,22,19,Hormathophylla,1,5,adult,senescent,NA,NA,NA,Hormathophylla,4.Arenaria tetraqetra
5,Open,NA,NA,Biscutella glaciale,1,3,adult,vegetative,NA,NA,NA,Biscutella,5.Open
5,Open,NA,NA,Jasione,1,1,adult,fruiting,NA,NA,5,Jasione,5.Open
8,Open,NA,NA,Nevadensia purpúrea,1,0.5,seedling,NA,NA,NA,NA,Nevadensia purpurea,8.Open
8,Open,NA,NA,Nevadensia purpúrea,2,0.5,adult,vegetative,NA,NA,NA,Nevadensia purpurea,8.Open
8,Open,NA,NA,Nevadensia purpúrea,3,0.5,adult,vegetative,NA,NA,NA,Nevadensia purpurea,8.Open
8,Open,NA,NA,Nevadensia purpúrea,4,0.5,adult,fruiting,NA,NA,5,Nevadensia purpurea,8.Open
9,Hormathophylla,64,52,Hormathophylla,1,1,seedling,NA,NA,NA,NA,Hormathophylla,9.Hormathophylla
12,Hormathophylla,60,36,Hormathophylla,1,1,seedling,NA,NA,NA,NA,Hormathophylla,12.Hormathophylla
12,Hormathophylla,60,36,Jasione,1,3,adult,fruiting,NA,NA,4,Jasione,12.Hormathophylla
13,Arenaria tetraqetra,28,21,Hormathophylla,1,1.5,juvenile,NA,NA,NA,NA,Hormathophylla,13.Arenaria tetraqetra
13,Arenaria tetraqetra,28,21,Hormathophylla,2,1.5,juvenile,NA,NA,NA,NA,Hormathophylla,13.Arenaria tetraqetra
14,Open,NA,NA,Jasione,1,2,adult,fruiting,NA,NA,5,Jasione,14.Open
14,Open,NA,NA,Jasione,2,2,adult,fruiting,NA,NA,5,Jasione,14.Open
14,Open,NA,NA,Eryngium,1,1,juvenile,NA,NA,NA,NA,Eryngium,14.Open
14,Open,NA,NA,Leontodon,1,3,adult,budding,2,1,NA,Leontodon,14.Open
15,Hormathophylla,38,28,Cardus carlinoides,1,3,adult,vegetative,NA,NA,NA,Carduus,15.Hormathophylla
15,Hormathophylla,38,28,Cardus carlinoides,2,3,seedling,NA,NA,NA,NA,Carduus,15.Hormathophylla
16,Arenaria tetraqetra,28,23,Nevadensia purpúrea,1,0.4,adult,vegetative,NA,NA,NA,Nevadensia purpurea,16.Arenaria tetraqetra
16,Arenaria tetraqetra,28,23,Nevadensia purpúrea,2,0.4,adult,vegetative,NA,NA,NA,Nevadensia purpurea,16.Arenaria tetraqetra
16,Arenaria tetraqetra,28,23,Nevadensia purpúrea,3,0.4,adult,vegetative,NA,NA,NA,Nevadensia purpurea,16.Arenaria tetraqetra
16,Arenaria tetraqetra,28,23,Nevadensia purpúrea,4,0.4,adult,fruiting,NA,NA,2,Nevadensia purpurea,16.Arenaria tetraqetra
16,Arenaria tetraqetra,28,23,Nevadensia purpúrea,5,0.4,adult,fruiting,NA,NA,1,Nevadensia purpurea,16.Arenaria tetraqetra
17,Open,NA,NA,Nevadensia purpúrea,1,1,adult,fruiting,NA,NA,3,Nevadensia purpurea,17.Open
17,Open,NA,NA,Nevadensia purpúrea,2,1,adult,fruiting,NA,NA,10,Nevadensia purpurea,17.Open
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,1,0.4,adult,vegetative,NA,NA,NA,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,2,0.4,adult,vegetative,NA,NA,NA,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,3,0.4,adult,vegetative,NA,NA,NA,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,4,0.4,adult,flowering,NA,1,NA,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,5,0.4,adult,fruiting,NA,NA,4,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,6,0.4,adult,fruiting,NA,NA,3,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,7,0.4,adult,fruiting,NA,NA,10,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,8,0.4,adult,fruiting,NA,NA,5,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,9,0.4,adult,fruiting,NA,NA,4,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Nevadensia purpúrea,10,0.4,adult,fruiting,NA,NA,20,Nevadensia purpurea,19.Arenaria tetraqetra
19,Arenaria tetraqetra,25,29,Jasione,1,1,adult,fruiting,NA,NA,1,Jasione,19.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,1,1.4,adult,NA,NA,NA,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,2,1.4,adult,NA,NA,NA,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,3,1.4,adult,flowering,NA,3,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,4,1.4,adult,flowering,NA,3,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,5,1.4,adult,flowering,NA,1,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,6,1.4,adult,flowering,NA,2,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Lotus,7,1.4,adult,flowering,NA,3,NA,Lotus,22.Arenaria tetraqetra
22,Arenaria tetraqetra,43,35,Eryngium,1,1,seedling,NA,NA,NA,NA,Eryngium,22.Arenaria tetraqetra
23,Open,NA,NA,Eryngium,1,2,juvenile,NA,NA,NA,NA,Eryngium,23.Open
