id,Order,Suborder,Family,Subfamily,Genus,Species,Phylogenetic.taxon,Guild,Plant.species,Date,Fs,Tr,Plot,Repl,site.label,group,in.code,fl.fam,pl.code
1,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150710,s,w,14,3,s w 14,bee,apimel,Brassicaceae,horspi
2,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyommatus,icarus,Polyommatus,pollinator,Lotus corniculatus subsp glacialis,20150715,s,o,14,4,s o 14,butterfly,polica,Fabaceae,lotcor
3,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,w,14,2,h w 14,bee,apimel,Caryophyllaceae,aretet
4,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,Bombus_terrestris,pollinator,Leucanthemopsis pectinata,20150707,s,o,13,1,s o 13,bumblebee,bomlus,Asteraceae,leupec
5,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150709,h,a,13,2,h a 13,bee,spipan,Caryophyllaceae,aretet
6,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708,s,a,2,2,s a 2,bee,apimel,Brassicaceae,horspi
7,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150711,s,w,3,3,s w 3,hoverfly,scaalb,Brassicaceae,horspi
8,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716,h,o,8,5,h o 8,bee,megpar,Fabaceae,antvul
9,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,Bracon,parasitoid,Hormathophylla spinosa,20150706,s,a,9,1,s a 9,,braspa,Brassicaceae,horspi
10,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706,s,a,9,1,s a 9,,galesp,Brassicaceae,horspi
11,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716,s,w,2,5,s w 2,hoverfly,scaalb,Brassicaceae,horspi
12,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724,h,o,5,8,h o 5,bee,apimel,Lamiaceae,sidgla
13,Lepidoptera,Rhopalocera,Nymphalidae,Nymphalinae,Nymphalis,urticae,Aglais_urticae,pollinator,Arenaria tetraquetra subsp amabilis,20150717,h,a,1,5,h a 1,butterfly,nymurt,Caryophyllaceae,aretet
14,Diptera,Nematocera,Bibionidae,Bibioninae,Dilophus,femoratus,Dilophus_femoratus,scavenger,Jasione amethystina,20150710,h,w,11,3,h w 11,,dilfem,Campanulaceae,jasame
15,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708,h,o,7,2,h o 7,bee,megasp,Fabaceae,antvul
16,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717,h,o,5,5,h o 5,bee,apimel,Lamiaceae,sidgla
17,Diptera,Brachycera,Tabanidae,Tabaninae,Haematopota,sp,Haematopota,predator,Arenaria tetraquetra subsp amabilis,20150724,h,a,7,8,h a 7,,haemsp,Caryophyllaceae,aretet
